admiralackbar,7.96522E+76
admiralmotti,6.47194E+76
ahsokatano,2.93605E+76
anakinsolo,6.41085E+75
asajjventress,8.016E+76
bb-8,6.45359E+76
berulars,3.96888E+76
bibfortuna,1.50799E+76
biggsdarklighter,2.09102E+76
bobafett,2.34232E+76
bok,3.87639E+76
bossk,5.7323E+76
c-3po,6.2086E+76
cadbane,2.63759E+76
cadeskywalker,5.08065E+76
captainphasma,1.09361E+77
captainrex,7.2968E+76
cassusfett,2.01034E+75
chewbacca,7.0834E+76
chopper,2.12822E+76
countdooku,5.27782E+76
darthbane,5.25845E+76
darthkrayt,5.59081E+76
darthmalgus,2.21733E+76
darthmaul,5.21588E+75
darthnihilus,1.06787E+77
darthplagueis,1.04449E+77
darthvader,9.1079E+76
darthwyyrlok,7.95294E+76
dashrendar,1.02288E+77
dengar,3.07632E+76
dexterjettster,4.52346E+76
emperorpalpatine,4.33607E+76
exarkun,7.0757E+76
ezrabridger,2.13872E+76
generalgrievous,1.15414E+77
grandmofftarkin,9.71956E+76
greedo,3.5846E+76
hansolo,5.9776E+76
herasyndulla,4.24991E+74
ig88,5.88844E+76
jabbathehutt,5.69444E+76
jacensolo,3.31847E+76
jangofett,6.32397E+76
jocastanu,3.16269E+76
kananjarrus,9.01459E+76
kiadimundi,1.0917E+77
kitfisto,7.69987E+76
kyloren,1.99435E+76
landocalrissian,3.91772E+76
lobot,2.57224E+76
logray,7.44701E+76
lukeskywalker,3.25325E+76
macewindu,5.55328E+76
marajade,9.06616E+76
maxrebo,2.6119E+75
monmothma,1.95466E+76
niennunb,7.76813E+76
nutegunray,7.02061E+76
obiwankenobi,9.73861E+76
owenlars,1.12028E+77
padmeamidala,4.57219E+76
plokoon,8.12548E+76
poedameron,2.64924E+76
princessleia,1.97404E+76
quigonjinn,9.26045E+76
quinlanvos,8.12189E+76
r2-d2,1.1436E+77
revan,1.04561E+77
rey,1.10525E+77
sabinewren,1.36701E+76
savan,2.71574E+76
sebulba,1.80299E+76
shaakti,8.668E+74
shmiskywalker,3.34741E+76
sysnootles,1.58963E+76
watto,2.67609E+76
wedgeantilles,1.08908E+77
wicket,6.83753E+76
yaddle,6.8514E+76
yoda,3.29945E+76
zuckuss,1.00439E+76
